FY 2012,3/24/2012,3/23/2012,"Harrington Plastics, Chino, CA 91710",Worker delivering loads of fiberglass was killed when a 420-pound load struck him on the head and landed on his chest.
FY 2012,3/24/2012,3/23/2012,"Kachur Tree Service, South Bend, IN 46637",Worker was struck on the head and killed by a falling tree limb that was cut by another worker.
FY 2012,3/24/2012,3/26/2012,"Gilley Construction Inc., Manchester, TN 37355",Worker died from an apparent drowning after falling from a barge into the water.
FY 2012,3/31/2012,2/8/2012,"Serra Stone Corp., Bethesda, MD 20816",Worker at a stone products manufacturer who was attempting to enter his work vehicle died when he was pinned against a brick wall after the truck rolled.
FY 2012,3/31/2012,2/13/2012,"Southern Management Corp., Towson, MD 21204","Worker for a management facility who was operating a car lift died when the carriage came out of the track and flipped over, ejecting the worker down a 20 foot shaft."
FY 2012,3/31/2012,2/15/2012,"Mad River Glen Ski Area, Waitsfield, VT",A ski instructor at a ski resort died after becoming stuck in a wall opening.
FY 2012,3/31/2012,2/23/2012,"FM Property Services, Union, NJ",Worker died after falling eight feet while installing ceiling tiles from a ladder.
FY 2012,3/31/2012,3/13/2012,"Alaska Heliskiing LLC, Hanes, AK 998273",Worker at a snow ski resort was buried under nearly eight feet of snow after an avalanche.
FY 2012,3/31/2012,3/18/2012,"Community Asphalt Corporation, Vero Beach, FL 32967","Worker refueling the company truck slipped and fell to the ground, sustaining rib fractures. He later died from health complications."
FY 2012,3/31/2012,3/19/2012,"Home Goods, Oakdale, MN 55128","Worker at a retail store, setting up a bag holder, died when a metal piece from the holder struck him in the head."
FY 2012,3/31/2012,3/21/2012,"A & D Air Conditioning & Refrigeration Inc., Boca Raton, FL 33432",Worker installing piping and sheet metal to the HVAC system of a restaurant died after falling 40 feet through the building's shaft.
FY 2012,3/31/2012,3/21/2012,"Vermont Electric Cooperative Inc., Johnson, VT 05656",Worker trimming trees was electrocuted after touching a live conductor.
FY 2012,3/31/2012,3/22/2012,"Breeze National Inc., New York, NY 10027",Worker for a trash and junk disposal company was killed when part of a two-story building collapsed.
FY 2012,3/31/2012,3/23/2012,"Burton Hydro-Vac, El Paso, TX 79905",Worker using a vacuum truck to remove water from a hole died after a pipe came loose and hit his head.
FY 2012,3/31/2012,3/23/2012,"Cambelt International, Salt Lake City, UT 84104",Worker was crushed between the hydraulic ram and bullister of a press during maintenance operations.
FY 2012,3/31/2012,3/23/2012,"Troon Golf LLC, Palm Beach Gardens, FL 33418","Worker driving a cart on a golf course drowned when the cart landed in a lake, pinning him underwater."
FY 2012,3/31/2012,3/24/2012,"Daniel Coates Farm, Fuquay Varina, NC 27526",Farm worker was struck and killed when a box of feed stock fell on him.
FY 2012,3/31/2012,3/24/2012,"Fire Brick Engineers Company Inc., Marlon, AL 36756-0670",Worker replacing the lining of a furnace was crushed between the cleaning equipment and wall. Equipment had not been locked out.
FY 2012,3/31/2012,3/24/2012,"Proctor & Gamble Paper Products Co., Mehoopany, PA 18629",Worker was performing maintenance on a paper mill machine was killed when his head became trapped between the oscillating shower head feed pipe and a stationary water return duct.
FY 2012,3/31/2012,3/27/2012,"HD Supply Waterworks, Pineville, NC 28134","Worker for a plumbing supplies company who was loading materials on a flatbed truck died when he fell 4 feet off the truck, and was then struck by a 420-pound pipe."
FY 2012,3/31/2012,3/27/2012,"J & S Industries, Friendswood, TX 77546",Worker trimming trees was electrocuted when his aluminum saw touched a transmission line.
FY 2012,3/31/2012,3/27/2012,"Lockhart Concrete Company, Kent, OH 44240",Worker at a concrete manufacturing facility was crushed between a precast concrete slab and excavator.
FY 2012,3/31/2012,3/28/2012,"Massman Traylor Alberici, A Joint Adventure, East St. Louis, IL 62202","Employee was working in an aerial lift over a river when a steel pile fell and struck the boom of the lift. The worker, still in the basket, fell into the river and drowned."
FY 2012,3/31/2012,3/28/2012,"Utilicon Solutions LTD, dba Highlines Construction, Wabbaseka, AR 72775",Worker replacing utility poles was electrocuted.
FY 2012,3/31/2012,3/29/2012,"Hathaway Ranch and Oil Museum, Santa Fe Springs, CA 90670","Worker at a ranch museum who was driving a tractor died after it overturned, pinning the worker to the ground."
FY 2012,3/31/2012,3/29/2012,"Modern American Recycling Services Inc., Gibson, LA 70356",Worker cutting a metal platform at a scrap yard died when a partially cut metal piece fell on him.
FY 2012,3/31/2012,3/29/2012,"Tech Systems Contracting, Hayes, VA 23072",Worker performing electrical prep work from a ladder died after falling and hitting his head on concrete floor.
FY 2012,3/31/2012,3/30/2012,"Frit Industries Inc., Walnut Ridge, AR 72476",Worker inspecting the removal of compacted soil from inside a fertilizer mixer died when he became engulfed in raw material after the mixer was turned on.
FY 2012,3/31/2012,3/30/2012,"Huntersville Hardwoods Inc., Huntersville, NC 28070",Worker was struck and killed by a fork truck while walking to a break area.
FY 2012,4/7/2012,3/20/2012,"Brantec Packaging Machinery Corp., Fort Mill, SC 29715",Worker was struck and killed by a forklift while walking through a bay door.
FY 2012,4/7/2012,3/25/2012,"Metropolitan Water Reclamation District, Cicero, IL 60804","Worker making sewer maintenance repairs stepped into a hole, injuring his ankle and back. The worker later died from complications during surgery."
FY 2012,4/7/2012,3/28/2012,"Marine Terminals Corporation - East dba Ports Amer, Savannah, GA 31401",Worker was struck and killed by a forklift at a marine terminal.
FY 2012,4/7/2012,4/1/2012,"Mersen USA St. Mary's PA-Corp., St. Mary's, PA 15857","Worker operating a powered industrial truck died when the raised fork from another truck struck his leg, cutting a main artery."
FY 2012,4/7/2012,4/2/2012,"Metroclean Commercial Building Services, Houston, TX 77067",Worker performing floor wax stripping duties was found deceased.
FY 2012,4/7/2012,4/2/2012,"Rumstick Construction Inc., Rollingstone, MN 55969",Worker performing residential construction died after falling 14 feet from a ladder.
FY 2012,4/7/2012,4/3/2012,"ET&T Corp., Rosedale, MD 21237",Worker making repairs underneath a trailer was killed when the trailer fell on him.
FY 2012,4/7/2012,4/3/2012,"J & E Industries LLC, New York, NY 10001",Worker was killed at a construction site when a crane fell on him.
FY 2012,4/7/2012,4/3/2012,"Mericle Mechanical Inc., Mettler, CA 93313",Worker repairing a HVAC unit on a warehouse roof died after falling 39 feet through a skylight.
FY 2012,4/7/2012,4/3/2012,"Outdoor Advertising Services, Snow Hill, NC 28580",Worker setting up a metal ladder alongside a billboard was electrocuted when the ladder touched a power line.
FY 2012,4/7/2012,4/3/2012,"W G Operating, Electra, TX 76360",Worker servicing an electrical pump was struck and killed by lightning.
FY 2012,4/7/2012,4/4/2012,"Demco Manufacturing Co., Boyden, IA 51234",Worker using a forklift to load grain carts onto a semi-trailer was killed after becoming stuck between the forklift's frame and cage.
FY 2012,4/7/2012,4/4/2012,"Village of Stickney-Public Works, Stickney, IL 60402",Worker riding on the sidestep of a garbage truck died after becoming pinned between the truck and a protruding pipe.
FY 2012,4/7/2012,4/5/2012,"Carolina Farms and Harvesting Inc., Johnston, SC 29832","Two workers installing an irrigation line from a pond to orchard fields were electrocuted when the metal piping contacted an overhead power line. One worker died, the second was hospitalized."
FY 2012,4/7/2012,4/5/2012,"Patterson UTI, Tionesta, PA 16353",Worker connecting pipes at a gas well site was crushed between a beam and pipe.
FY 2012,4/7/2012,4/6/2012,"Rotech Granite Inc., Las Vegas, NV 89109",Worker raised a diamond saw table unit above his head to disassemble it from underneath and was crushed when the table top fell on him.
FY 2012,4/14/2012,3/21/2012,"MidSouth Utility Group Inc., Washington, GA 30637",Worker was crushed in a rollover accident involving a tractor.
FY 2012,4/14/2012,4/2/2012,"A&R Construction, Dickinson, ND 58601","Worker unloading pipes from a flatbed truck was killed when the pipes came loose and hit worker, causing him to fall to the ground."
FY 2012,4/14/2012,4/2/2012,"Eldesisca Services Inc., Doral, FL 33172",Worker painting a warehouse building roof died after falling 35 feet through a skylight.
FY 2012,4/14/2012,4/2/2012,"Progressive Products and Service, Gulfport, MS 39505",Worker making repairs to a boat died after falling 12 feet from the boat's deck.
FY 2012,4/14/2012,4/3/2012,"Spectrum Painting, San Antonio, TX 78216","Worker was found laying semi-conscious, three feet from a ladder. He later died at the hospital."
FY 2012,4/14/2012,4/6/2012,"A-1 Property Services Group Inc., Doral, FL 33122",Worker painting a roof died after falling 25 feet through a skylight.
FY 2012,4/14/2012,4/6/2012,"Looks Great Services of MS Inc., Sumrall, MS 39482-3658",Worker was performing tree trimming and was struck by a falling tree.
FY 2012,4/14/2012,4/9/2012,"Omega Protein, Moss Point, MS 39562",Worker at a seafood plant was killed when he was caught in a conveyor used to move liquids and grain materials.
FY 2012,4/14/2012,4/9/2012,"S & J Construction Co. Inc., Chicago, IL 60633",Worker was performing steel erection activities and was crushed by a steel beam.
FY 2012,4/14/2012,4/10/2012,"274 East Memorial LLC, Hagerstown, MD 21740",Worker on the back of a small vehicle used for hauling trash died from injuries after he was thrown from the vehicle when it made a turn.
FY 2012,4/14/2012,4/10/2012,"Harlan Global Manufacturing, Kansas City, KS 68115",Worker installing an axle underneath a tractor was killed when the axle fell on his head.
FY 2012,4/14/2012,4/10/2012,"Potomac Abatement Inc., Silver Spring, MD 20910",Worker for an environmental hazards solutions company died after falling 10 stories from a self-lifting scaffold.
FY 2012,4/14/2012,4/11/2012,"NC Dept. of Public Safety, Spruce Pine, NC 28777",Worker sustained a fatal head injury after falling down stairs.
FY 2012,4/14/2012,4/11/2012,"One Source Industrial, Big Spring, TX 79720",Worker was struck and killed by a train while driving a vacuum truck across railroad tracks.
FY 2012,4/14/2012,4/11/2012,"Purdy Concrete Inc., Lafayette, IN 47909","Worker inside a swimming pool pit preparing to fill it with concrete was killed when the cement truck tipped over, and fell on him."
FY 2012,4/14/2012,4/11/2012,"State of Oregon State Hospital, Salem, OR 97301",Worker attempting to restrain a patient collapsed and died from apparent natural causes.
FY 2012,4/14/2012,4/12/2012,"TN Aluminum Processors Inc., Mt. Pleasant, TN 38474",Worker loading aluminum into a shredder was killed after being pulled into the machine.
FY 2012,4/14/2012,4/13/2012,"Shamrock Foods, Albuquerque, NM 87120",Worker at a food processing facility was killed when an elevated docking board used to fill the gap between a trailer and loading dock fell and struck his head.
FY 2012,4/21/2012,11/17/2011,"Dragados USA/Judlau, New York, NY 10017",Worker using a concrete sprayer during tunnel repairs was struck and killed by falling concrete.
FY 2012,4/21/2012,2/10/2012,"Star Wars Technology Systems Inc., New York, NY 10007",Worker installing heat control cabling died after falling off a ladder and hitting his head on the concrete floor.
FY 2012,4/21/2012,3/14/2012,"Premier Precision Group-Sternel, Plymouth, MN 55441",Worker performing painting services died from cardiac arrest.
FY 2012,4/21/2012,3/30/2012,"ABM Security Services, Cactus, TX 79013","Worker monitoring a gate while unloading cattle was killed when a male cattle charged the gate, causing the gate to hit the worker."
FY 2012,4/21/2012,4/2/2012,"Santa Barbara Historical Museum, Santa Barbara, CA 93101",Worker suffered fatal head injuries after falling down 20 steps.
FY 2012,4/21/2012,4/5/2012,"Verallia Glass Containers LLC, Simsboro, LA 71275",Worker at a glass container warehouse was struck and killed by a forklift while stacking products.
FY 2012,4/21/2012,4/9/2012,"Doyon Drilling Inc., Prudhoe Bay, AL 99734",Worker performing rig operations offshore died after he was caught between a pipe elevator support and a generator room wall.
FY 2012,4/21/2012,4/9/2012,"Ferreteria Maderas 3C, San Juan, PR 00920",Worker in a warehouse shipping and receiving area was struck and killed by a vehicle.
FY 2012,4/21/2012,4/9/2012,"Village of Romeoville- Public Works, Romeoville, IL 60446",Worker was struck and killed by a public works vehicle.
FY 2012,4/21/2012,4/9/2012,"Yorba River Inc. dba Pro-Towing, Chino, CA 91710",Worker performing maintenance on a tow truck was killed when he was hit and dragged by the moving truck.
FY 2012,4/21/2012,4/11/2012,"Roggen Farmers Elevator Association, Roggen, CO 80652",Worker loading a large empty sila plastic bag into a mechanical device died when his body became caught in the bagging mechanism.
FY 2012,4/21/2012,4/13/2012,"Savanna Auto Care, Newark, DE 19702","Worker on top of a lift gate while repairing a truck's hydraulic pump was killed when the pump turned on and the gate lifted, pinning the worker between the gate and the truck."
FY 2012,4/21/2012,4/13/2012,"Svensk Management Inc., DBA Advanced Pools, Lauderdale Lakes, FL 33067",Worker died after falling while walking down a set of stairs.
FY 2012,4/21/2012,4/14/2012,"Knox Swan & Dog LLC, North Barrington, IL 60010","Worker patrolling a residential community pond while inside a kayak was attacked by swans, causing him to fall in the water and drown."
FY 2012,4/21/2012,4/16/2012,"Precision Erection Company, Fort Rucker, AL 36362",Worker performing new construction was struck and killed by a collapsing steel structure.
FY 2012,4/21/2012,4/16/2012,"Walsh Construction, Indianapolis, IN 46241","Worker building a barrier wall was crushed when an excavator backed up, pinning the victim between the machine and a wall."
FY 2012,4/21/2012,4/18/2012,"Hansen Design Specialty Flooring Inc., Draper, UT 84020",Worker was struck and killed by a vehicle while performing maintenance in a storm drain.
FY 2012,4/21/2012,4/18/2012,"Lewis Nursery and Farms Inc., Rocky Point, NC 28457",Worker was killed after his leg became caught in coiled rope that was being pulled onto a post by a spooling machine.
FY 2012,4/21/2012,4/19/2012,"Erosion Control Applications Inc., Hinkley, CA 92347",Worker using a bobcat and boom lift to remove an aluminum tube that was stuck inside a liner roll died from head injuries when he became pinned between bobcat and its frame.
FY 2012,4/21/2012,4/19/2012,"OFC Transport, Wilmington, CA 90744",Worker refueling his truck was killed when the truck moved forward and rolled over him.
FY 2012,4/21/2012,4/20/2012,"Key Energy Services Inc., Fellows, CA 93224",Worker was struck and killed while trying to stop his truck from rolling downhill.
FY 2012,4/21/2012,4/20/2012,"Lunda Construction Company, De Pere, WI 54115",Worker connecting a boom to a crane was killed after the crane's arm fell on him.
FY 2012,4/21/2012,4/20/2012,"Robert Ochoa dba Robert Ochoa, Mooresville, NC 28117",Worker repairing a residential roof died after falling 13 feet onto a concrete driveway.
FY 2012,4/28/2012,3/22/2012,"Leeman Architectural Woodwork, Powder Spring, GA 30127",Forklift operator was crushed between the lift's mast and truck while attempting to release a dump bucket attached to the forks.
FY 2012,4/28/2012,3/24/2012,"A and A Farms Inc., Bunnlevel, NC 28323",Farm worker was killed after a box of seed potatoes fell on him.
FY 2012,4/28/2012,4/10/2012,"Parker Logging, Brandon, MS 39042",Worker cutting down trees was struck and killed by a falling tree.
FY 2012,4/28/2012,4/14/2012,"D Barro Landscaping Service Inc., Leonia, NJ 07605",Worker repairing an uprooted sidewalk at a construction site was crushed after a concrete slab hanging from a bobcat fell on him.
FY 2012,4/28/2012,4/17/2012,"A.F.R. of Georgia Inc., Winder, GA 30680",Worker at a fiberglass manufacturing facility died after suffering a seizure.
FY 2012,4/28/2012,4/17/2012,"General Asphalt Co. Inc., Deerfield Beach, FL 33441",Worker repaving part of a highway was killed after being run over by a dump truck.
FY 2012,4/28/2012,4/24/2012,"Evraz Rocky Mountain Steel, Pueblo, CO 81004",Worker was run over and killed by a powered industrial truck.
FY 2012,4/28/2012,4/24/2012,"Oxton Transport Inc., Red Oak, IA 51566",Driver on top of transport trailer while monitoring levels of liquid fertilizer died after falling to the concrete after suffering a stroke.
FY 2012,4/28/2012,4/24/2012,"Quality Power & Control, Allen, NE 68710",Worker performing electrical services was electrocuted.
FY 2012,4/28/2012,4/24/2012,"Wigand Disposal Company, Princeville, IL 61559",Worker collecting garbage died after he was run over by the trash truck.
FY 2012,4/28/2012,4/26/2012,"PJE Lawn Care, Greenfield, IN 46163","Landscape worker using a tractor with attached chain to remove a tree stump drowned when the chain failed, causing the tractor to roll into a pond, trapping him underwater."
FY 2012,4/28/2012,4/27/2012,"City of Manchester- Public Works Dept., Manchester, KY 40962",Worker was killed when part of a trench wall fell on him.
FY 2012,4/28/2012,4/27/2012,"Dakota Steel, Rapid City, SD 57702","Steel worker using a machine to bend an elevated steel beam was killed when the 1,600-pound beam fell on him."
FY 2012,4/28/2012,4/28/2012,"Northern California Institute for Research and Education, San Francisco, CA 94121",Lab worker died from complications related to exposure to infectious bacteria.
FY 2012,5/5/2012,3/28/2012,"Commercial Trade Source, Lafayette, IN 47906",Worker died after falling five feet from a ladder while installing metal cable above a drop ceiling.
FY 2012,5/5/2012,3/28/2012,"Delta Construction, Plano, TX 75075",A worker at a construction site was killed after a catering truck hit him.
FY 2012,5/5/2012,3/28/2012,"Indus Construction LP, San Antonio, TX 78210",Bridge worker installing rebar was killed after falling 18 feet.
FY 2012,5/5/2012,4/13/2012,"Peekskill City Dept. of Public Works, Peekskill, NY 10566",Worker for a public works department suffered head trauma after falling from a truck.
FY 2012,5/5/2012,4/16/2012,"Marcella Juarez Concrete, Mandeville, LA 70448",Construction worker was struck and killed by lightning while pouring a concrete slab.
FY 2012,5/5/2012,4/18/2012,"MEI Rigging and Crating, Dallas, TX 75235",Worker was run over and killed by a forklift used to deliver materials at a construction site.
FY 2012,5/5/2012,4/18/2012,"WM Contractor, Galveston, TX 77554",Worker power washing a metal roof died after stepping on a fiberglass skylight and falling 35 feet.
FY 2012,5/5/2012,4/19/2012,"Juan Alejandro Alvarez, Angleton, TX 77515",Worker repairing a roof died when he fell 22 feet through a fiberglass skylight onto concrete.
FY 2012,5/5/2012,4/21/2012,"BAC #2 Investments LLC, New Orleans, LA 70122",Worker pressure washing near a wall was killed when the wall collapsed.
FY 2012,5/5/2012,4/21/2012,"Dan D. Drilling Inc., Capron, OK 73717",Worker for a drilling company died when he fell from a derrick platform to the rig floor.
FY 2012,5/5/2012,4/23/2012,"Horizon Energy Services LLC, Oklahoma City, OK 73135","Drilling worker was killed when a hydraulic line used to lift machinery broke, pinning him underneath the equipment."
FY 2012,5/5/2012,4/28/2012,"DSNK Corporation, Washington, DC 20002","Worker lifting guardrails up to a third floor balcony died when the guardrail he leaned against collapsed, causing him to fall 21 feet to the concrete."
FY 2012,5/5/2012,4/28/2012,"ISM Insulation, Magnolia, TX 77355","Worker using scaffold to spray foam insulation on a wall died after his ladder slipped, causing him to fall."
FY 2012,5/5/2012,4/30/2012,"ConocoPhillips, Borger, TX 79008",Worker installing hydraulics at a silo chute died from a 20-foot fall when the chute moved to a vertical position.
FY 2012,5/5/2012,4/30/2012,"Glavas LLC, Willoughby, OH",Worker performing electrical work died from head injuries when he fell 20 feet from a ladder.
FY 2012,5/5/2012,4/30/2012,"North American Shipbuilding, Larose, LA 70373",Worker for a shipuilding company died from a possible heart attack after being found unconscious at the bottom of a stairway.
FY 2012,5/5/2012,5/1/2012,"A-1 Siding Inc., Marion, IA 52302",Worker died after falling 13 feet from a ladder while working on a second story window at a private residence.
FY 2012,5/5/2012,5/1/2012,"USF Reddaway dba Reddaway, Fontana, CA 92237",Worker at a truck terminal died after being hit by a tractor used to move containers.
FY 2012,5/5/2012,5/2/2012,"E&B Paving, Indianapolis, IN 46204",Worker operating machines that produce asphalt was killed after being wedged between moving conveyor belts.
FY 2012,5/5/2012,5/3/2012,"Allison Marine Contractors, Amelia, LA 70340",Marine contract worker unhooking a pressure vessel from a crane line was killed when the vessel tipped over and fell on him.
FY 2012,5/5/2012,5/3/2012,"Frank's Casing Crew & Rental Tools, Lafayette, LA 70508",Worker at a tool company helping to move iron pipes was crushed when one of the pipes rolled over him.
FY 2012,5/5/2012,5/3/2012,"Ken's Firewood, Colusa, CA 95932",Worker performing demolition work was killed after a wall collapsed.
FY 2012,5/5/2012,5/4/2012,"Walsh Construction, Madison, IN 47250",Worker was operating an aerial lift and became wedged between the lift basket and beam.
FY 2012,5/5/2012,5/8/2012,"Knott Construction Inc., Forest City, NC 28043",Worker at a construction site was killed after he was hit on the head by a steel pipe that broke from a piece of scrap metal.
FY 2012,5/12/2012,12/11/2011,"DBA Giannini Landscaping, Massapequa, NY 11758",Worker performing landscaping services was electrocuted after touching electrical lines.
FY 2012,5/12/2012,3/5/2012,"Conn-Weld Industries Inc., Princeton, WV 24740",Worker died from burns suffered after a blasting machine caught fire.
FY 2012,5/12/2012,4/14/2012,"G&G Egg Inc., Spencer, IA 51301",Worker operating a lawn mower was found dead underneath the mower in a ditch.
FY 2012,5/12/2012,5/6/2012,"The Teaching Company Sales LLC, Chantilly, VA 20151","Worker was operating a stand-up lift truck when the top of the mast struck an iron beam over the doorway. The force of the impact caused the worker to be thrown from the truck, and the beam to become dislodged and strike the worker on the head."
FY 2012,5/12/2012,5/7/2012,"Malon D Mimms, Roswell, GA 30075",Worker on a roof taking measurements of the HVAC units died after falling 21 feet.
FY 2012,5/12/2012,5/7/2012,"Penzel Construction Co., Inc., Jackson, MO 63755",Worker assembling a crawler crane at a construction site was killed when his head was crushed between the crane's uncarriage and support pads.
FY 2012,5/12/2012,5/7/2012,"Schoeder & Tremayne, St. Louis, MO 63123","Warehouse worker operating a forklift died when the metal plate that bridges the gap between the loading dock and truck gave way, causing him to fall 6 feet off the dock."
FY 2012,5/12/2012,5/7/2012,"TAG Manufacturing Inc., Chattanooga, TN 37421",Worker stepped into an auger pit and became caught in the auger.
FY 2012,5/12/2012,5/8/2012,"High Ball Erector LLC, Boulder, CO 80303",Worker conducting steel erection activities was fatally wounded.
FY 2012,5/12/2012,5/8/2012,"Intercostal Roofing Solutions LLC, Orchid, FL 32967",Worker laying down sealant on a roof died after falling 40 feet to the cement ground.
FY 2012,5/12/2012,5/9/2012,"Allen & Gibbons Logging Inc., Canyonville, OR 97417","Worker had just set chokers in a unit of tree length on steep terrain. When the lines came tight, the log swung forward and struck the victim in the chest and head."
FY 2012,5/12/2012,5/9/2012,"Contractors Roofing & Supply Co., Lake Sherwood, MO 63357",Worker was electrocuted when the boom of the roofing supply truck contacted power lines hidden within tree branches.
FY 2012,5/12/2012,5/9/2012,"DLS Tree Services, Edgeworth, PA 15143",Worker was electrocuted when the pole saw he used to trim trees touched an overhead power line.
FY 2012,5/12/2012,5/9/2012,"Milestone Contractors, Indianapolis, IN 46204",Worker was walking in a private homeowner's yard and was struck by a motor vehicle.
FY 2012,5/12/2012,5/9/2012,"Unknown, Sacramento, CA 95828",Worker collapsed on roof.
FY 2012,5/12/2012,5/10/2012,"Pike Electric Corporation, Elm City, NC 27822",Worker had one hand on a truck that became energized and the electricity flowed through the worker's body.
FY 2012,5/12/2012,5/10/2012,"Roya and Isaac Musighi, Beverly Hills, CA 90210",Worker inside an unshored trench at a residential construction site was asphyxiated when the trench collapsed.
FY 2012,5/12/2012,5/10/2012,"Savanna Energy Services, Keatchie, LA 71046","Worker on a drilling rig was killed when his equipment was entangled in a mechanical unit, pulling him off the rig."
FY 2012,5/12/2012,5/11/2012,"Hoosier A1 Sanitary Sewer Services, New Castle, IN 47362",Worker was reeling in a high pressure water hose when the nozzle whipped around and the high pressure water cut the worker's carotid artery.
FY 2012,5/12/2012,5/12/2012,"CA Department of Justice, Sacramento, CA 95814","Worker passed away from cancer, one day after retiring. Worker was exposed to gas fumes and cleaning solvents while on duty. Not work-related."
FY 2012,5/12/2012,5/12/2012,"Wal-Mart Stores Inc., Fairfield, IA 52556","Worker was leaving store while on break, tripped on an outside curb and sustained head injuries."
FY 2012,5/19/2012,5/9/2012,"Arca Trucking Services LLC, Midland, TX 79706",Worker inside the cab of a truck fuel tank being welded to patch a leak was killed when the tank ignited and exploded.
FY 2012,5/19/2012,5/12/2012,"Cuyahoga Concrete Company, Cleveland, OH 44115",Worker using a pneumatic chisel to clean out the inside of a concrete truck was found dead.
FY 2012,5/19/2012,5/13/2012,"Downtown Design Services Inc., Hawley, TX 79525",Worker surveying a pipeline was electrocuted when the antenna he was using touched an overhead power line.
FY 2012,5/19/2012,5/14/2012,"Logistec USA Corp., Palmetto, FL 34221",Worker performing marine cargo handling activities was killed when a crane fell on him.
FY 2012,5/19/2012,5/14/2012,"Preston Memorial Hospital, Kingwood, WV 26537",Worker was killed after being struck by an elevator inside a hospital elevator shaft.
FY 2012,5/19/2012,5/15/2012,"Hightower Electric Company Ltd., Houston, TX 77066",Worker installing light fixtures in a remodeled building died when he fell off ladder after contacting live wiring.
FY 2012,5/19/2012,5/15/2012,"Viking Construction, Chico, CA 95926",Worker was widening freeway and fell approximately six feet.
FY 2012,5/19/2012,5/16/2012,"Circle C, Odessa, TX 79763",Worker extracting water from a well was found dead inside well.
