State,Date,Address,Description,Type,Latitude,Longitude,Number
ND,3/3/14,"North Dakota Pipeline Company LLC, Grand Forks, ND 58201",Employee killed in a motor vehicle collision.,Fatality,47.9252568,-97.0328547,1
CO,3/3/14,"Now and Never, Kersey, CO 80644",Worker killed from exposure to oil tank fumes. ,Fatality,40.387481,-104.5616256,1
OR,3/2/14,"Cardinal Logistics Management Corp, Roseburg, OR 97470",Worker killed in vehicle collision.,Fatality,43.216505,-123.3417381,1
WA,3/2/14,"LTI Inc.,  Lynden, WA 98264",Worker killed in motor vehicle collision.,Fatality,48.9465044,-122.4521073,1
OH,3/2/14,"Team Steel Fabricators LLC, Youngstown, OH 44505",Worker killed in maintenance shop fire.,Fatality,41.1071733,-80.5993854,1
TX,3/1/14,"Bandera Drilling Co. Inc., Big Spring, TX 79720",Worker was crushed by forklift while making repairs. ,Fatality,32.2503979,-101.4787355,1
TX,3/1/14,"Chad Menefee Construction, Mount Pleasant, TX 75455",Worker died when the dump truck he was operating rolled into a ditch. ,Fatality,33.1567863,-94.968269,1
NJ,2/28/14,"Borough of Fair Lawn, Fair Lawn, NJ 07410",Worker died after falling from recycling vehicle.,Fatality,40.9370006,-74.1181234,1
NY,2/28/14,"East Coast Mines & Materials Corp., East Quogue, NY 11942",Worker killed after being engulfed by mulch.,Fatality,40.8406554,-72.5814814,1
WI,2/28/14,"Wieser Concrete Products Inc., Portage, WI 53901",Worker crushed structure that fell from overhead crane.,Fatality,43.5391486,-89.4626202,1
NJ,2/27/14,"A & Z General Contractors Inc., Beach Haven, NJ 08008",Worker killed in fall from ladder. ,Fatality,39.5592848,-74.2431962,1
OH,2/27/14,"Duke Energy, South Lebanon, OH 45065",Worker struck and killed by collapsed utility pole.  ,Fatality,39.3708927,-84.2132698,1
NJ,2/27/14,"Wallington Volunteer Fire Department, Wallington, NJ 07057",Worker responding to fire killed in fall from roof.,Fatality,40.8531553,-74.1137537,1
NM,2/26/14,"Aztec Grading Inc., Peralta, NM 87042",Worker backed over and killed by a truck while paving the road.,Fatality,34.8369984,-106.690581,1
TX,2/26/14,"Eliseo Castro, Houston, TX 77043",Worker was electrocuted when the leg of a scaffold he was dismantling contacted a power line.,Fatality,29.8054835,-95.5564777,1
MO,2/26/14,"Heartland Manufacturing Group, Peculiar, MO 64078",Worker was crushed between two trucks.,Fatality,38.7191764,-94.4585625,1
FL,2/26/14,"Simpson Environmental Services Inc., Hollywood, FL 33019",Worker killed in fall from scaffold. ,Fatality,26.0275816,-80.1261093,1
IL,2/25/14,"J.F. Electric Incorporated, Pekin, IL 61554",Worker electrocuted while transferring power from transmission lines. ,Fatality,40.5675388,-89.640658,1
FL,2/24/14,"Hogan Inc., Naples, FL 34103",Worker electrocuted when the pole saw he was using to trim trees contacted power lines.,Fatality,26.1917113,-81.806039,1
TX,2/24/14,"Maverick Drilling, Missouri City, TX 77489",Two workers on a drilling rig were electrocuted after contacting overhead power lines.,Fatality,29.5938012,-95.509247,1
TX,2/24/14,"Pasadena Tank Corporation, Corpus Christi, TX 78409",Worker struck and killed by pipe that fell from crane.,Fatality,27.8025401,-97.5138947,1
TX,2/23/14,"Five Star Roustabouts LLC, O'Brien, TX 79539",Worker struck and killed by motor vehicle.  ,Fatality,33.3800959,-99.8437036,1
NY,2/22/14,"Legal Sea Foods LLC, Huntington Station, NY 11746",Restaurant worker died from carbon monoxide exposure.,Fatality,40.8534318,-73.4115091,1
MS,2/22/14,"Stubbs Heating and Cooling, Magee, MS 39111",Worker struck and killed by a crane boom.,Fatality,31.8737712,-89.7336852,1
WI,2/21/14,"Keith R Olmsted, Shiocton, WI 54170",Worker struck and killed by a bulk milk trailer.,Fatality,44.4447056,-88.5789903,1
MS,2/21/14,"MidSouth Elevator LLC, Jackson, MS 39212",Worker on top of elevator performing repairs was crushed against  ceiling when the elevator was activated.,Fatality,32.2537549,-90.2713944,1
PA,2/21/14,"Ray Eager and Sons LLC, Cochranville, PA 19330",Worker using pressure washer was killed in fall through floor opening.,Fatality,39.8917958,-75.9214005,1
WA,2/21/14,"Tacoma Moving & Storage Co., Kent, WA 98032",Worker was crushed between two trucks.,Fatality,47.4116866,-122.245159,1
CA,2/21/14,"Vintage Gardens Nursery & Feed, Portola, CA 96122",Worker was struck and killed by a falling tree.,Fatality,39.8104567,-120.4691034,1
GA,2/20/14,"Film Allman LLC, Jesup, GA 31598",Film crew worker was struck and killed by a train while preparing to shoot a scene.,Fatality,31.5,-81.83,1
IA,2/20/14,"Helena Chemical Company, Benton, IA 50835",Worker struck and killed when a steel belt conveyor system fell on him.,Fatality,40.7044213,-94.3667907,1
KY,2/20/14,"Joseph Bates, Lexington, KY 40508",Worker was struck and killed by wood that fell from roof.,Fatality,38.0488113,-84.5091102,1
IA,2/20/14,"Monti Home Improvements Inc., Monticello, IA 52310",Worker installing garage door died in fall from scaffold.,Fatality,42.2383351,-91.1870937,1
AR,2/19/14,"Arkansas Steel Associates LLC, Newport, AR 72112",Employer killed by molten steel that spilled from an overhead crane. ,Fatality,35.6048018,-91.2817951,1
CT,2/19/14,"Folsom Construction LLC, South Windsor, CT 06074",Owner and driver electrocuted when their dump truck contacted a transmission line.  ,Fatality,41.8489872,-72.5717551,1
CA,2/18/14,"KB Oil and Gas, Inc., McKittrick, CA 93251",Worker killed in fall from oil rig cab.,Fatality,35.3055201,-119.6226239,1
NV,2/18/14,"MGM Grand Las Vegas, Las Vegas, NV 89109",Worker died after tripping and falling on curb.  ,Fatality,36.1025618,-115.169277,1
CA,2/18/14,"Thermo Power Industries, Long Beach, CA 90802",Worker killed in fall from scaffold.,Fatality,33.7415317,-118.1941785,1
IA,2/15/14,"Bunn-O-Matic, Creston, IA 50801",Worker died after slipping and falling on icy stairs.,Fatality,41.0586002,-94.3613474,1
PA,2/14/14,"64 Stefanak Drive, West Middlesex, PA 16159",Worker died after being pinned between a tractor cab and trailer. ,Fatality,41.1823732,-80.4189613,1
IL,2/14/14,"Il Dept of Transportation - Dist. 4 Wyoming Yard, Toulon, IL 61483",Worker was struck and killed by motor vehicle while assisting motorists.,Fatality,41.0936481,-89.8648283,1
OH,2/14/14,"Republic Steel, Lorain, OH 44055",Worker struck and killed by railroad car that derailed.,Fatality,41.4369439,-82.1332818,1
TX,2/14/14,"Rexel Holdings USA Corp., Houston, TX 77024",Worker died in fall from a warehouse dock. ,Fatality,29.7726138,-95.514493,1
PA,2/14/14,"United States Steel Corporation, Clairton, PA 15025",Worker killed from fall into a trench.,Fatality,40.292292,-79.881715,1
ME,2/13/14,"Thomas N. Richards & Son, Poland, ME 04274",Worker killed when a logging truck rolled over and crushed him.  ,Fatality,44.0606281,-70.3936675,1
RI,2/12/14,"358 Elmwood Ave MCM Auto Sales LLC, Providence, RI 02907",Worker struck and killed by tow truck.  ,Fatality,41.7956806,-71.4269679,1
NY,2/12/14,"MTA NYCT DOB MJ Quill Depot, NYC, NY 10018",Worker was killed in vehicle collision.,Fatality,40.755322,-73.9932872,1
TX,2/12/14,"Tanner Timber Services LLC, Kountze, TX 77625",Worker struck and killed by log while feeding it into a bull edger. ,Fatality,30.3715975,-94.3124116,1
ID,2/11/14,"Anderson Farms Inc., Heyburn, ID 83336",Worker killed after falling into a feed mixer.,Fatality,42.5585201,-113.7639048,1
AR,2/11/14,"Nucor Steel, Blytheville, AR 72315",Train operator died after being caught between locomotive and a derailed car.,Fatality,35.9272953,-89.9189753,1
WA,2/10/14,"Brindle Technical Logging, Inc., Morton, WA 98356",Worker was struck and killed by a log.,Fatality,46.5584421,-122.2751046,1
NH,2/10/14,"New Hampshire Ball Bearing, Peterborough, NH 03458",Eight workers hospitalized after a drum of nitric acid solution exploded.,Catastrophe,42.8706048,-71.9516746,1
PA,2/10/14,"Randy Sterling Trucking Inc., Morrisdale, PA 16858",Worker killed when truck rolled over him during repairs.,Fatality,41.0033867,-78.1906417,1
ND,2/10/14,"Sperle Family Farm, Napoleon, ND 58561",Worker died after being engulfed by grain.,Fatality,46.5083133,-99.7712195,1
ID,2/10/14,"Wheeler Electric Inc., Idaho Falls, ID 83404",Worker struck and killed by a switch panel. ,Fatality,43.4233213,-112.0143728,1
WV,2/9/14,"Jarrell Contractors Inc., Fairview, WV 26570",Three workers hospitalized from overexposure to carbon monoxide.  ,Catastrophe,39.5925816,-80.2475787,1
FL,2/8/14,"Sierra Lawn Care Service, Saint Petersburg, FL 33705",Worker electrocuted by powerline while trimming trees. ,Fatality,27.7346248,-82.6321376,1
TX,2/7/14,"Interfacing Company of Texas Inc., Manvel, TX 77578",Worker killed in trench collapse. ,Fatality,29.4627365,-95.357994,1
KY,2/7/14,"Qc of Kentucky Inc., Calvert City, KY 42029",Worker died after inhaling nitrogen.,Fatality,37.0333896,-88.3500362,1
OR,2/6/14,"Don Hamann, Inc., Selma, OR 97538",Worker was struck and killed by a tree limb.,Fatality,42.2793208,-123.6161053,1
LA,2/6/14,"Jack Spring Electrical Contractors Inc., Benton, LA 71006",Worker electrocuted while repairing a transformer.,Fatality,32.6948677,-93.7418454,1
IL,2/5/14,"Advocate Good Shepherd Hospital, Barrington, IL 60010",Worker struck and killed by snow plow.,Fatality,42.1947497,-88.1723703,1
FL,2/4/14,"Brickell Hotel Group LLP, Miami, FL 33130",Worker killed in vehicle collision.,Fatality,25.7667897,-80.2070328,1
KS,2/4/14,"Via Christi Hospital, Pittsburg, KS 66762",Nurse struck and killed by motor vehicle.,Fatality,37.3801684,-94.6848214,1
KY,2/4/14,"Wayne Terry, Brooksville, KY 41004",Worker killed in fall through manhole.,Fatality,38.6825719,-84.0657632,1
NY,2/3/14,"Enterprise Farms, Moravia, NY 13118",Worker killed after being caught in a feed auger.,Fatality,42.7125702,-76.4216025,1
FL,2/3/14,"NEL & Sons Inc., Coral Gables, FL 33134",Worker killed in fall from ladder.,Fatality,25.7564662,-80.2711588,1
MD,2/2/14,"Eastern Truck Equipment LLC, Boonsboro, MD 21713",Worker was struck and killed by a tractor tire that exploded during inflation.,Fatality,39.5062108,-77.6524907,1
OH,2/2/14,"Happy Dog Restaurant, Cleveland, OH 44102",Worker died in fall down stairs.,Fatality,41.4789363,-81.7404134,1
KY,2/1/14,"Med Care Pharmacy LLC, Grayson, KY 41042",Worker killed in motor vehicle collision.,Fatality,38.9803309,-84.6583745,1
WV,2/1/14,"S. & S. Communication Specialist Inc., Clarksburg, WV 26301",Two workers killed in a communications tower collapse.,Fatality,39.2806451,-80.3445341,1
NV,1/31/14,"Curtis Steel Co., Inc., Las Vegas, NV 89102",Worker struck and killed by bundle of steel.,Fatality,36.1462673,-115.1829873,1
MD,1/31/14,"Erosion Control & Landscape Services Inc., Pikeville, MD 21108",Worker was struck and killed by a motor vehicle.,Fatality,39.0751243,-76.6297189,1
IL,1/31/14,"Maruichi Leavitt Pipe & Tube, Chicago, IL 60643",Worker cutting metal tubing died after being caught by a large band saw. ,Fatality,41.6773775,-87.6538017,1
TX,1/30/14,"Jesus Orta, Forney, TX 75126",Worker killed in fall from scaffold while finishing drywall.,Fatality,32.7481845,-96.4719312,1
WI,1/30/14,"Mayville Engineering, Beaver Dam, WI 53916",Worker killed in vehicle collision during a snow storm. ,Fatality,43.4577692,-88.837329,1
PA,1/30/14,"Mersen USA St. Marys-PA Corporation, Saint Marys, PA 15857",Worker killed when an industrial oven exploded.,Fatality,41.4273738,-78.5609398,1
TX,1/29/14,"NTS Incorporated of Texas, Wheeler, TX 79096",Four workers hospitalized for burns after a natural gas pipeline explosion.,Catastrophe,35.4453257,-100.2709552,1
GA,1/29/14,"VCA Buckeahd, NE Atlanta, GA 30324",Worker died after being dragged by dog he was walking.,Fatality,33.81842,-84.3594626,1
TX,1/28/14,"Compressed Air Systems LLC, Grand Prairie, TX 75052",Worker struck and killed when an air compressor exploded during maintenance.,Fatality,32.67942,-97.0283383,1
TX,1/28/14,"Derr & Isbell Construction LLC, Waco, TX 76704",Worker in a hydraulic boom lift died when it fell off a barge.,Fatality,31.5726497,-97.1197867,1
NY,1/27/14,"Dan and Maes Dairy, Westford, NY 13488",Worker killed when his clothes caught in a corn chopper and pulled him into the machine.,Fatality,42.6915321,-74.7483371,1
CO,1/27/14,"Holy Cross Energy, Silt, CO 81652",Worker inspecting power lines was killed in a helicopter crash.  ,Fatality,39.5485917,-107.6561707,1
MS,1/26/14,"Cheek Enterprises Inc., Senatobia, MS 38668",Employer died in fall from ladder.,Fatality,34.6176032,-89.9687011,1
GA,1/25/14,"Jose Luiz Martinez, Gainesville, GA 30506",Employer died in fall from elevated bucket while removing a tree.,Fatality,34.335219,-83.9108968,1
GA,1/25/14,"Snapper Generator & Starter Repair, Atlanta, GA 30310",Worker installing a transmission underneath vehicle was crushed when the car fell onto him. ,Fatality,33.7321902,-84.4225186,1
TN,1/24/14,"Mario Martinez dba Martinez Fence Company, Nashville, TN 37210",Worker struck and killed by a bundle of pipes that fell from truck.,Fatality,36.1482458,-86.7366082,1
CA,1/24/14,"Mark Trabucco, Los Olivos, CA 93441",Worker killed when bulldozer overturned.,Fatality,34.7761654,-119.9913964,1
LA,1/24/14,"Offshore Rentals Ltd, Golden Meadow, LA 70357",Worker struck and killed by a forklift. ,Fatality,29.3791112,-90.2600786,1
OK,1/24/14,"Paragon Industries Inc., Sapulpa, OK 74066",Worker died after falling off and being run over by loader.  ,Fatality,35.9987007,-96.1141664,1
AR,1/24/14,"Quick Transport of Arkansas Inc., Knoxville, AR 72845",Worker struck and killed when trailer hatch exploded during defrosting with propane torch.,Fatality,35.3820284,-93.3643479,1
IN,1/24/14,"R.V.H. Trucking, LLC, Mentone, IN 46539",Worker killed when an air dryer exploded.,Fatality,41.1733771,-86.0347186,1
MI,1/24/14,"The Anderson White Pigeon Grain, White Pigeon, MI 49099",Worker suffocated after falling  through hatch into  a railroad car filled with soybeans,Fatality,41.7981056,-85.6433229,1
FL,1/23/14,"A-1 Florida Sod Inc., Mulberry, FL 33860",Worker died after being crushed in motorized equipment.,Fatality,27.8953038,-81.9734172,1
NC,1/23/14,"Exterior Recovery, Inc., Raleigh, NC 27616",Worker died in fall while applying commercial siding.  ,Fatality,35.8774409,-78.5547283,1
NY,1/23/14,"Romeo Dimon Marine Service Inc., Mattituck, NY 11952",Worker crushed by the bucket of a compact track loader.,Fatality,40.9912115,-72.5342547,1
PR,1/23/14,"US Army Reserve-AMSA, Guaynabo, PR 00965",Forklift operator struck and killed by a fire extinguisher that exploded during disposal.  ,Fatality,18.4351411,-66.1203339,1
LA,1/22/14,"International Paper, Bogalusa, LA 70427",Worker drowned when front end loader went into a water catchment basin.,Fatality,30.7910204,-89.8486858,1
TX,1/22/14,"Linn Dale Logging, Pollock, TX 75969",Worker struck and killed by falling tree while performing logging work.,Fatality,31.467389,-94.8728093,1
AZ,1/22/14,"Riddle Painting & Coatings, Phoenix, AZ 85009",Two workers killed when aerial lift tipped over.,Fatality,33.4438042,-112.1310986,1
CO,1/22/14,"Weathercraft Co. of Colorado Springs, Colorado Springs, CO 80903",Worker struck and killed by a failed cable on an outside fire escape system.,Fatality,38.8413423,-104.8162784,1
KY,1/21/14,"George B Stone Company, LLC, Wilmore, KY 40374",Worker struck and killed by motor vehicle.,Fatality,38.1800301,-83.9108968,1
OR,1/21/14,"Global Pacific Environmental, Inc., White City, OR 97503",Worker crushed between wall and dump truck.,Fatality,42.4333333,-122.8338889,1
OK,1/21/14,"Lineage LLC, Dacoma, OK 73731",Worker killed when his vehicle was struck by a train. ,Fatality,36.6594764,-98.5631366,1
CA,1/20/14,"7 Seas Seafood, Montebello, CA 90640",Worker crushed beneath car.,Fatality,34.0165053,-118.1137535,1
TX,1/20/14,"Ball Cabinet Shop, New Braunfels, TX 78130",Worker killed in fall from scaffold. ,Fatality,29.7030024,-98.1244531,1
NE,1/20/14,"International Nutrition Inc., Omaha, NE 68127",Two workers killed in structure collapse. ,Fatality,41.2073534,-96.0520363,1
NH,1/20/14,"Kel-Log Inc., Errol, NH 03579",Worker struck and killed by semi-truck while installing snow chains on tires of company vehicle. ,Fatality,44.7814393,-71.1378558,1
PA,1/20/14,"Lobar Inc., Windsor, PA 17366",Worker crushed under fallen switchgear. ,Fatality,39.9162109,-76.5844107,1
OK,1/20/14,"Mid American Steel & Wire, Madill, OK 73446",Two workers killed in an electric arc furnace explosion.  ,Fatality,34.0903751,-96.7716691,1
IL,1/20/14,"Rich Valley Farms Inc., Red Bud, IL 62278",Worker died after falling into grain bin filled with corn.,Fatality,38.2117172,-89.9942741,1
MA,1/18/14,"Ground Earth Inc., Fall River,  MA 02721",Employer working under vehicle was crushed when it rolled over him.,Fatality,41.6746583,-71.150793,1
TX,1/18/14,"Precision Drilling Corporation, Rankin, TX 79778",Worker crushed between fallen section of derrick and wheel. ,Fatality,31.2226477,-101.9379085,1
CA,1/17/14,"Crown Equipment Corp, Carmichael, CA 95608",Worker crushed by frame of forklift.,Fatality,38.617127,-121.3282843,1
KS,1/17/14,"Kansas Hardwoods Inc., Belvue, KS 66407",Worker struck and killed by tree while engaged in logging activities.,Fatality,39.2166634,-96.178051,1
NJ,1/17/14,"Katz Transportation LLC, Piscataway, NJ 08854",Worker crushed by load of metal racks that fell from flatbed truck. ,Fatality,40.5397222,-74.4663889,1
CA,1/17/14,"Sempervivum, Glen Ellen, CA 95442",Worker struck and killed by scraper tractor.,Fatality,38.3640795,-122.5241487,1
WA,1/16/14,"Dawn Til Dusk, LLC, Toldeo, WA 98591",Worker struck and killed by falling trees.,Fatality,46.4642769,-122.7398348,1
IA,1/16/14,"Ehret Roofing, Burlington, IA 52601",Worker died in fall from roof.,Fatality,40.8076529,-91.1128901,1
TX,1/16/14,"Fred Loya Insurance, El Paso, TX 79935",Worker killed in motor vehicle collision.,Fatality,31.7601272,-106.3287199,1
FL,1/16/14,"GLF Construction Corp., Lamont, FL 32336",Worker was crushed when a bridge panel fell on him during removal.,Fatality,30.1774439,-83.8685072,1
FL,1/16/14,"Plant City Air, Saint Petersburg, FL 33711",Worker caulking holes died in fall from false ceiling.,Fatality,27.7374908,-82.6861446,1
MA,1/16/14,"Sea Watch International LTD, New Bedford, MA 02740",Worker killed when his clothes became entangled in the rotating shaft of a shucking machine.,Fatality,41.6381659,-70.9368469,1
PR,1/16/14,"Sunset Contractors & Recycling, Inc., Rio Piedras, PR 00925",Worker died in falll.,Fatality,18.3997222,-66.05,1
HI,1/16/14,"Titanium Roofing, LLC, Honolulu, HI 96819",Worker died in fall through a skylight.,Fatality,21.3644294,-157.8689014,1
CA,1/15/14,"Forest Memorial Christian Church, Pittsburg, CA 94565",Worker killed in fall from roof while making repairs. ,Fatality,38.0279762,-121.8846806,1
TX,1/15/14,"JM Test Systems, Refugio, TX 78377",Worker delivering equipment killed in vehicle collision.,Fatality,28.3052838,-97.2752704,1
IL,1/15/14,"Riverview Materials, Riverdale, IL 60827",Worker killed when caught between moving conveyor and hopper wall.  ,Fatality,41.6333678,-87.6331021,1
DC,1/15/14,"W.A. Chester LLC, Washington, DC 20016",Worker standing in back of truck was struck and killed by another vehicle.,Fatality,38.9374808,-77.0852258,1
MD,1/14/14,"Allegheny Property Rental Management, LLC, Cumberland, MD 21502",One worker died and another hospitalized from carbon monoxide exposure.,Fatality,39.6528654,-78.7625185,1
NY,1/14/14,"County Petroleum Products, Ferndale, NY 12734",Worker died in fall from top of fuel truck.,Fatality,41.717385,-74.7688173,1
ID,1/14/14,"Custom Gutters, Post Falls, ID 83854",Employer died in fall while preparing gutter installation. ,Fatality,47.7179578,-116.9515856,1
